#parameters of run: 
#Number of Sensors 5
#Sensor Range: 35
#POI: 441
#Sensor for file: C:/Users/PC/Desktop/AD HOc/WSN_GUI/WSN/WSN 5d-test-1.txt.txt
Sensor states for file: not appiled
#id q    s    1 2 3 4 5   q1   q2   q3   q4   q5 ...
2 0.25  2    00010   0.0  0.1  0.0  1.0  0.0
4 0.26  4    00100   0.0  0.2  1.0  0.0  0.5
8 0.37  8    01000   0.6  1.0  0.3  0.2  0.0
10 0.56  10    01010   0.6  1.0  0.3  1.0  0.0
11 0.73  11    01011   0.6  1.0  0.6  1.0  1.0
12 0.55  12    01100   0.6  1.0  1.0  0.2  0.5
13 0.63  13    01101   0.6  1.0  1.0  0.2  1.0
14 0.75  14    01110   0.6  1.0  1.0  1.0  0.5
16 0.19  16    10000   1.0  0.3  0.0  0.0  0.0
18 0.43  18    10010   1.0  0.4  0.0  1.0  0.0
22 0.69  22    10110   1.0  0.6  1.0  1.0  0.5
25 0.61  25    11001   1.0  1.0  0.6  0.2  1.0
27 0.81  27    11011   1.0  1.0  0.6  1.0  1.0
29 0.72  29    11101   1.0  1.0  1.0  0.2  1.0
